Filebench Version 1.5-alpha3
0.000: Allocated 173MB of shared memory
0.003: Populating and pre-allocating filesets
0.003: bigfileset populated: 32 files, avg. dir. width = 32, avg. dir. depth = 1.0, 0 leafdirs, 65536.000MB total size
0.003: Removing bigfileset tree (if exists)
0.006: Pre-allocating directories in bigfileset tree
0.007: Pre-allocating files in bigfileset tree
0.007: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.007: Population and pre-allocation of filesets completed
0.144: Attempting to create fileset more than once, ignoring
0.144: Starting 1 filesequentialwrite instances
1.152: Running...
11.154: Per-Operation Breakdown
finish               32ops        3ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.001ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close20              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file20         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create20             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close19              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file19         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create19             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close18              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file18         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create18             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close17              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file17         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create17             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close16              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file16         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create16             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close15              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file15         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create15             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close14              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file14         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create14             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close13              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file13         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create13             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close12              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file12         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create12             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close11              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file11         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create11             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close10              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file10         0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create10             0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close9               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file9          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create9              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close8               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file8          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create8              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close7               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file7          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create7              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close6               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file6          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create6              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close5               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file5          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create5              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close4               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file4          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create4              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close3               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file3          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create3              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close2               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file2          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create2              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
finish               0ops        0ops/s   0.0mb/s    0.000ms/op [18446744073709.551ms - 0.000ms]
close1               0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
write-file1          0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
create1              0ops        0ops/s   0.0mb/s    0.000ms/op [0.000ms - 0.000ms]
12.156: IO Summary:     0 ops 0.000 ops/s 0/0 rd/wr   0.0mb/s 0.000ms/op
12.156: Shutting down processes
